index,open,high,low,close,volume,value
2021-05-01 00:00:00,66390000.0,66543000.0,66375000.0,66543000.0,41.51880934,2758024745.96176
2021-05-01 00:01:00,66529000.0,66660000.0,66500000.0,66564000.0,39.14858673,2606990228.89611
2021-05-01 00:02:00,66567000.0,66567000.0,66342000.0,66458000.0,24.9033459,1655399552.56113
2021-05-01 00:03:00,66454000.0,66464000.0,66385000.0,66427000.0,16.1458379,1072473745.53496
2021-05-01 00:04:00,66431000.0,66502000.0,66408000.0,66500000.0,14.492038,962912153.05028
2021-05-01 00:05:00,66500000.0,66666000.0,66500000.0,66625000.0,19.85880888,1322928102.99798
2021-05-01 00:06:00,66626000.0,66664000.0,66600000.0,66618000.0,17.95762405,1196455861.36156
2021-05-01 00:07:00,66618000.0,66628000.0,66600000.0,66625000.0,17.46663258,1163637682.28823
2021-05-01 00:08:00,66625000.0,66664000.0,66622000.0,66660000.0,13.04681495,869415978.60934
2021-05-01 00:09:00,66660000.0,66665000.0,66651000.0,66659000.0,14.13528549,942251653.31489
2021-05-01 00:10:00,66656000.0,66659000.0,66651000.0,66652000.0,10.26107511,683947109.25556
2021-05-01 00:11:00,66654000.0,66661000.0,66646000.0,66661000.0,14.22243267,947987449.08795
2021-05-01 00:12:00,66660000.0,66880000.0,66660000.0,66876000.0,18.88234201,1260214532.67159
2021-05-01 00:13:00,66876000.0,66999000.0,66803000.0,66803000.0,38.08390142,2549361934.88959
2021-05-01 00:14:00,66880000.0,66977000.0,66740000.0,66975000.0,21.3266715,1425344034.67418
2021-05-01 00:15:00,66952000.0,66985000.0,66901000.0,66970000.0,26.20598653,1754816150.73784
2021-05-01 00:16:00,66967000.0,67000000.0,66954000.0,66955000.0,41.31107726,2767174803.87023
2021-05-01 00:17:00,66970000.0,67136000.0,66951000.0,67135000.0,58.24825625,3905058563.97882
2021-05-01 00:18:00,67099000.0,67150000.0,67000000.0,67052000.0,46.1472797,3095844095.19846
2021-05-01 00:19:00,67033000.0,67035000.0,66672000.0,66776000.0,38.04199444,2544565338.52668
2021-05-01 00:20:00,66815000.0,66989000.0,66776000.0,66976000.0,21.43911013,1434829968.79413
2021-05-01 00:21:00,66976000.0,66976000.0,66850000.0,66910000.0,17.61608163,1179003400.55623
2021-05-01 00:22:00,66910000.0,67156000.0,66900000.0,67153000.0,40.76102566,2731813964.26188
2021-05-01 00:23:00,67154000.0,67500000.0,67153000.0,67500000.0,49.81682381,3355938882.98159
2021-05-01 00:24:00,67490000.0,67510000.0,67186000.0,67310000.0,63.01060562,4248918917.84431
2021-05-01 00:25:00,67353000.0,67371000.0,67255000.0,67268000.0,30.93751538,2083212237.80042
2021-05-01 00:26:00,67268000.0,67505000.0,67184000.0,67500000.0,44.23374576,2976924003.20672
2021-05-01 00:27:00,67500000.0,67575000.0,67500000.0,67573000.0,36.5968996,2471727572.09298
2021-05-01 00:28:00,67569000.0,67630000.0,67555000.0,67609000.0,29.64760053,2004015896.47008
2021-05-01 00:29:00,67608000.0,67813000.0,67582000.0,67812000.0,52.61410093,3560463582.19555
